Sno,Institute Name,State,District,Type,Affiliating University,Program,Level,Course,Acred. Till,Intake
514,UNIVERSITY COLLEGE OF ENGINEERING BITCAMPUS TIRUCHIRAPPALLI,Tamil Nadu,TIRUCHIRAPPALLI,State Government University,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,PETROCHEMICAL TECHNOLOGY,30-06-2021,60
515,UNIVERSITY COLLEGE OF ENGINEERING BITCAMPUS TIRUCHIRAPPALLI,Tamil Nadu,TIRUCHIRAPPALLI,State Government University,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,PHARMACEUTICAL ENGINEERING,30-06-2021,60
516,SHRI MATA VAISHNO DEVI UNIVERSITY,Jammu and Kashmir,REASI,Govt aided,None,MANAGEMENT,POST GRADUATE,MBA,30-06-2021,120
517,H R PATEL INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH,Maharashtra,DHULE,Private-Self Financing,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",PHARMACY,UNDER GRADUATE,PHARMACY,30-06-2022,100
518,KOMMURI PRATAP REDDY INSTITUTE OF TECHNOLOGY,Telangana,RANGAREDDI,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,COMPUTER SCIENCE & ENGINEERING,30-06-2022,180
519,KOMMURI PRATAP REDDY INSTITUTE OF TECHNOLOGY,Telangana,RANGAREDDI,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,30-06-2022,60
520,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,Andhra Pradesh,YSR DISTRICT,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,CIVIL ENGINEERING,30-06-2022,60
521,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,Andhra Pradesh,YSR DISTRICT,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,30-06-2022,60
522,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,Andhra Pradesh,YSR DISTRICT,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,30-06-2022,120
523,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,Andhra Pradesh,YSR DISTRICT,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,30-06-2022,180
524,MALLA REDDY COLLEGE OF ENGINEERING TECHNOLOGY,Telangana,RANGAREDDI,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,31-10-2022,240
525,MALLA REDDY COLLEGE OF ENGINEERING TECHNOLOGY,Telangana,RANGAREDDI,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,31-10-2022,240
526,MALLA REDDY COLLEGE OF ENGINEERING TECHNOLOGY,Telangana,RANGAREDDI,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,INFORMATION TECHNOLOGY,31-10-2022,180
527,MALLA REDDY COLLEGE OF ENGINEERING TECHNOLOGY,Telangana,RANGAREDDI,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,MECHANICAL ENGINEERING,31-10-2022,60
528,DAYANANDA SAGAR ACADEMY OF TECHNOLOGY MANAGEMENT TECHNICAL CAMPUS,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,30-06-2021,180
529,DAYANANDA SAGAR ACADEMY OF TECHNOLOGY MANAGEMENT TECHNICAL CAMPUS,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,INFORMATION SCIENCE AND ENGINEERING,30-06-2021,180
530,DAYANANDA SAGAR ACADEMY OF TECHNOLOGY MANAGEMENT TECHNICAL CAMPUS,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,30-06-2021,60
531,DAYANANDA SAGAR ACADEMY OF TECHNOLOGY MANAGEMENT TECHNICAL CAMPUS,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,30-06-2021,120
532,DAYANANDA SAGAR ACADEMY OF TECHNOLOGY MANAGEMENT TECHNICAL CAMPUS,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,MECHANICAL ENGINEERING,30-06-2021,60
533,DAYANANDA SAGAR ACADEMY OF TECHNOLOGY MANAGEMENT TECHNICAL CAMPUS,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,CIVIL ENGINEERING,30-06-2022,60
534,KAKATIYA INSTITUTE OF TECHNOLOGY SCIENCE,Telangana,WARANGAL,Private-Self Financing,"Kakatiya University, Warangal",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,MECHANICAL ENGINEERING,30-06-2022,120
535,KAKATIYA INSTITUTE OF TECHNOLOGY SCIENCE,Telangana,WARANGAL,Private-Self Financing,"Kakatiya University, Warangal",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,COMPUTER SCIENCE & ENGINEERING,30-06-2021,180
536,KAKATIYA INSTITUTE OF TECHNOLOGY SCIENCE,Telangana,WARANGAL,Private-Self Financing,"Kakatiya University, Warangal",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,30-06-2022,120
537,KAKATIYA INSTITUTE OF TECHNOLOGY SCIENCE,Telangana,WARANGAL,Private-Self Financing,"Kakatiya University, Warangal",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,30-06-2021,180
538,KAKATIYA INSTITUTE OF TECHNOLOGY SCIENCE,Telangana,WARANGAL,Private-Self Financing,"Kakatiya University, Warangal",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,INFORMATION TECHNOLOGY,30-06-2022,120
539,KAKATIYA INSTITUTE OF TECHNOLOGY SCIENCE,Telangana,WARANGAL,Private-Self Financing,"Kakatiya University, Warangal",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,CIVIL ENGINEERING,30-06-2022,120
540,KALASALINGAM ACADEMY OF RESEARCH AND EDUCATION,Tamil Nadu,VIRUDHUNAGAR,Deemed to be University(Pvt),"Kalasalingam Academy of Research and Education, Virudhunagar Dist. (TN)",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,BIOTECHNOLOGY,30-06-2021,120
541,KALASALINGAM ACADEMY OF RESEARCH AND EDUCATION,Tamil Nadu,VIRUDHUNAGAR,Deemed to be University(Pvt),"Kalasalingam Academy of Research and Education, Virudhunagar Dist. (TN)",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,CIVIL ENGINEERING,30-06-2023,60
542,KALASALINGAM ACADEMY OF RESEARCH AND EDUCATION,Tamil Nadu,VIRUDHUNAGAR,Deemed to be University(Pvt),"Kalasalingam Academy of Research and Education, Virudhunagar Dist. (TN)",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,30-06-2021,240
543,KALASALINGAM ACADEMY OF RESEARCH AND EDUCATION,Tamil Nadu,VIRUDHUNAGAR,Deemed to be University(Pvt),"Kalasalingam Academy of Research and Education, Virudhunagar Dist. (TN)",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,30-06-2021,240
544,KALASALINGAM ACADEMY OF RESEARCH AND EDUCATION,Tamil Nadu,VIRUDHUNAGAR,Deemed to be University(Pvt),"Kalasalingam Academy of Research and Education, Virudhunagar Dist. (TN)",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,30-06-2023,30
545,KALASALINGAM ACADEMY OF RESEARCH AND EDUCATION,Tamil Nadu,VIRUDHUNAGAR,Deemed to be University(Pvt),"Kalasalingam Academy of Research and Education, Virudhunagar Dist. (TN)",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,MECHANICAL ENGINEERING,30-06-2023,120
546,VIVEKANANDA INSTITUTE OF PROFESSIONAL STUDIES- TECHNICAL CAMPUS,Delhi,NORTH DELHI,Private-Self Financing,"Guru Gobind Singh Indraprastha University, Delhi",MCA,POST GRADUATE,MASTER OF COMPUTER APPLICATIONS,30-06-2021,120
547,KONGU ENGINEERING COLLEGE,Tamil Nadu,ERODE,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,MECHANICAL ENGINEERING,30-06-2021,120
548,KONGU ENGINEERING COLLEGE,Tamil Nadu,ERODE,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,30-06-2021,240
549,KONGU ENGINEERING COLLEGE,Tamil Nadu,ERODE,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,30-06-2023,240
550,KONGU ENGINEERING COLLEGE,Tamil Nadu,ERODE,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,30-06-2023,120
551,KONGU ENGINEERING COLLEGE,Tamil Nadu,ERODE,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS AND INSTRUMENTATION ENGINEERING,30-06-2021,120
552,KONGU ENGINEERING COLLEGE,Tamil Nadu,ERODE,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,MECHATRONICS ENGINEERING,30-06-2023,120
553,KONGU ENGINEERING COLLEGE,Tamil Nadu,ERODE,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,INFORMATION TECHNOLOGY,30-06-2023,120
554,KONGU ENGINEERING COLLEGE,Tamil Nadu,ERODE,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,CHEMICAL ENGINEERING,30-06-2021,120
555,KONGU ENGINEERING COLLEGE,Tamil Nadu,ERODE,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,FOOD TECHNOLOGY,30-06-2023,60
556,KESHAV MEMORIAL INSTITUTE OF TECHNOLOGY,Telangana,HYDERABAD,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,INFORMATION TECHNOLOGY,30-06-2024,120
557,SYED AMMAL ENGINEERING COLLEGE,Tamil Nadu,RAMANATHAPURAM,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,30-06-2024,60
558,SYED AMMAL ENGINEERING COLLEGE,Tamil Nadu,RAMANATHAPURAM,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,MECHANICAL ENGINEERING,30-06-2024,60
559,COLLEGE OF ENGINEERING AND TECHNOLOGY,Odisha,KHORDHA,Government,"Biju Patnaik University of Technology, Bhubaneswar",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,MECHANICAL ENGINEERING,30-06-2022,120
560,COLLEGE OF ENGINEERING AND TECHNOLOGY,Odisha,KHORDHA,Government,"Biju Patnaik University of Technology, Bhubaneswar",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,CIVIL ENGINEERING,30-06-2022,120
561,COLLEGE OF ENGINEERING AND TECHNOLOGY,Odisha,KHORDHA,Government,"Biju Patnaik University of Technology, Bhubaneswar",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRICAL ENGINEERING,30-06-2022,120
562,COLLEGE OF ENGINEERING AND TECHNOLOGY,Odisha,KHORDHA,Government,"Biju Patnaik University of Technology, Bhubaneswar",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS & INSTRUMENTATION ENGINEERING,30-06-2022,120
563,JABALPUR ENGINEERING COLLEGE JABALPUR,Madhya Pradesh,JABALPUR,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,CIVIL ENGINEERING,30-06-2022,80
564,JABALPUR ENGINEERING COLLEGE JABALPUR,Madhya Pradesh,JABALPUR,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRICAL ENGINEERING,30-06-2022,80
565,NIT POLYTECHNIC,Maharashtra,NAGPUR,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",ENGINEERING AND TECHNOLOGY,DIPLOMA,COMPUTER ENGINEERING,30-06-2022,120
566,NIT POLYTECHNIC,Maharashtra,NAGPUR,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",ENGINEERING AND TECHNOLOGY,DIPLOMA,MECHANICAL ENGINEERING,30-06-2022,120
567,NIT POLYTECHNIC,Maharashtra,NAGPUR,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",ENGINEERING AND TECHNOLOGY,DIPLOMA,ELECTRONICS AND TELECOMMUNICATIONS ENGINEERING,30-06-2022,60
568,NIT POLYTECHNIC,Maharashtra,NAGPUR,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",ENGINEERING AND TECHNOLOGY,DIPLOMA,CIVIL ENGINEERING,30-06-2022,60
569,NIT POLYTECHNIC,Maharashtra,NAGPUR,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",ENGINEERING AND TECHNOLOGY,DIPLOMA,ELECTRICAL ENGINEERING,30-06-2022,120
570,BHARATI VIDYAPEETH S INSTITUTE OF TECHNOLOGY POLY,Maharashtra,SANGLI,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",ENGINEERING AND TECHNOLOGY,DIPLOMA,MECHANICAL ENGINEERING,30-06-2021,60
571,MOHAMED SATHAK ENGINEERING COLLEGE,Tamil Nadu,RAMANATHAPURAM,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,CHEMICAL ENGINEERING,30-06-2023,45
572,MOHAMED SATHAK ENGINEERING COLLEGE,Tamil Nadu,RAMANATHAPURAM,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,CIVIL ENGINEERING,30-06-2023,60
573,MOHAMED SATHAK ENGINEERING COLLEGE,Tamil Nadu,RAMANATHAPURAM,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,30-06-2023,60
574,MOHAMED SATHAK ENGINEERING COLLEGE,Tamil Nadu,RAMANATHAPURAM,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,MECHANICAL ENGINEERING,30-06-2023,120
575,SIKSHA O ANUSANDHAN,Odisha,KHORDHA,Deemed to be University(Pvt),"Siksha ?O? Anusandhan, Bhubaneswar",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,CIVIL ENGINEERING,30-06-2022,90
576,SIKSHA O ANUSANDHAN,Odisha,KHORDHA,Deemed to be University(Pvt),"Siksha ?O? Anusandhan, Bhubaneswar",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,30-06-2022,1500
577,SIKSHA O ANUSANDHAN,Odisha,KHORDHA,Deemed to be University(Pvt),"Siksha ?O? Anusandhan, Bhubaneswar",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRICAL ENGINEERING,30-06-2022,60
578,SIKSHA O ANUSANDHAN,Odisha,KHORDHA,Deemed to be University(Pvt),"Siksha ?O? Anusandhan, Bhubaneswar",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGINEERING,30-06-2022,120
579,SIKSHA O ANUSANDHAN,Odisha,KHORDHA,Deemed to be University(Pvt),"Siksha ?O? Anusandhan, Bhubaneswar",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,MECHANICAL ENGINEERING,30-06-2022,90
580,SRI KRISHNA COLLEGE OF ENGINEERING AND TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,30-06-2023,120
581,SRI KRISHNA COLLEGE OF ENGINEERING AND TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,MECHATRONICS ENGINEERING,30-06-2021,120
582,SRI KRISHNA COLLEGE OF ENGINEERING AND TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,CIVIL ENGINEERING,30-06-2023,60
583,GOVERNMENT COLLEGE OF ENGINEERING JALGAON M S,Maharashtra,JALGAON,Government,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,INSTRUMENTATION ENGINEERING,30-06-2021,60
584,GOVERNMENT COLLEGE OF ENGINEERING JALGAON M S,Maharashtra,JALGAON,Government,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,MECHANICAL ENGINEERING,30-06-2021,60
585,THE NATIONAL INSTITUTE OF ENGINEERING,Karnataka,MYSORE,Govt aided,"Visvesvaraya Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,30-06-2021,120
586,THE NATIONAL INSTITUTE OF ENGINEERING,Karnataka,MYSORE,Govt aided,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,POST GRADUATE,STRUCTURAL ENGINEERING,30-06-2022,18
587,SANJIVANI RURAL EDUCATION SOCIETY S SANJIVANI COLLEGE OF ENGINEERING,Maharashtra,AHMEDNAGAR,Private-Self Financing,"University of Pune, Pune",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,CIVIL ENGINEERING,30-06-2021,120
588,SANJIVANI RURAL EDUCATION SOCIETY S SANJIVANI COLLEGE OF ENGINEERING,Maharashtra,AHMEDNAGAR,Private-Self Financing,"University of Pune, Pune",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,COMPUTER ENGINEERING,30-06-2023,120
